lastTickTime,Tile::grassCount,Tile::rabbitCount,Tile::foxCount
0,0,69,34
0.323682,0,69,34
0.34585,0,68,35
0.374804,0,68,35
0.408103,0,68,35
0.441561,0,66,36
0.47493,0,65,37
0.508272,0,65,38
0.542389,0,65,38
0.574817,0,65,38
0.608699,0,65,38
0.642067,0,65,38
0.675596,0,129,38
0.709713,0,127,38
0.742195,0,126,39
0.776904,0,123,40
0.809803,0,120,42
0.843429,0,118,42
0.877762,0,116,42
0.910075,0,113,45
0.942796,0,111,47
0.976528,0,110,46
1.00888,0,161,46
1.04313,0,159,46
1.07595,0,213,45
1.1094,0,210,45
1.14362,0,208,44
1.17792,0,208,44
1.21057,0,206,44
1.24423,0,204,46
1.27885,0,203,45
1.31192,0,202,27
1.34271,0,247,25
1.3761,0,242,26
1.41021,0,320,26
1.44331,0,309,26
1.48124,0,344,28
1.51203,0,334,25
1.54411,0,326,25
1.57845,0,321,29
1.61131,0,315,27
1.64735,0,312,28
1.67687,0,337,30
1.71308,0,328,30
1.74749,0,418,31
1.77885,0,395,31
1.81397,0,479,32
1.8456,0,459,34
1.8784,0,475,35
1.91371,0,460,38
1.94574,0,450,37
1.98191,0,441,36
2.01151,0,453,37
2.04714,0,446,37
2.07898,0,513,38
2.11202,0,496,39
2.14689,0,621,42
2.17866,0,584,45
2.21265,0,652,46
2.24512,0,613,47
2.28337,0,611,48
2.32075,0,590,50
2.34857,0,589,56
2.38192,0,570,60
2.41374,0,612,60
2.44977,0,591,61
2.48122,0,699,68
2.52077,0,649,72
2.54741,0,745,75
2.58656,0,701,74
2.62037,0,741,77
2.64857,0,703,79
2.68088,0,694,80
2.71596,0,668,85
2.74823,0,684,87
2.7803,0,669,86
2.81721,0,758,84
2.84892,0,723,87
2.88027,0,848,87
2.91472,0,792,91
2.94713,0,883,88
2.98089,0,825,91
3.01463,0,830,95
3.04914,0,800,98
3.08373,0,810,103
3.11414,0,770,105
3.15029,0,820,109
3.18374,0,771,111
3.22079,0,873,111
3.25266,0,818,113
3.28501,0,924,119
3.31892,0,853,125
3.35056,0,910,124
3.38383,0,844,126
3.41753,0,846,129
3.45039,0,808,126
3.48319,0,823,140
3.51661,0,779,143
3.5521,0,854,149
3.58529,0,801,146
3.61832,0,918,151
3.65018,0,857,156
3.68758,0,948,167
3.71676,0,873,173
3.75236,0,884,184
3.78355,0,823,190
3.82394,0,828,188
3.85801,0,782,193
3.88404,0,821,206
3.922,0,758,214
3.9559,0,833,224
3.98379,0,774,228
4.01818,0,859,242
4.0503,0,793,248
4.08876,0,837,251
4.12313,0,776,259
4.15009,0,782,267
4.1856,0,743,267
4.21826,0,771,271
4.25281,0,740,267
4.28863,0,774,271
4.32361,0,733,277
4.34981,0,813,273
4.38533,0,765,269
4.41834,0,826,274
4.45382,0,764,267
4.48453,0,797,266
