lastTickTime,Tile::grassCount,Tile::rabbitCount,Tile::foxCount
0,0,70,35
0.201174,0,70,35
0.219824,0,70,35
0.235939,0,70,35
0.252212,0,70,35
0.268813,0,70,35
0.285459,0,69,36
0.302254,0,68,36
0.319537,0,67,38
0.336169,0,67,38
0.352769,0,67,38
0.368993,0,66,38
0.386309,0,131,39
0.402548,0,128,41
0.419185,0,126,42
0.438305,0,126,42
0.452558,0,126,42
0.469628,0,125,42
0.486053,0,122,43
0.502617,0,120,43
0.519268,0,119,43
0.53594,0,117,43
0.552802,0,171,46
0.569917,0,170,46
0.586356,0,224,47
0.603055,0,221,44
0.621276,0,220,43
0.636358,0,218,44
0.654894,0,214,44
0.669803,0,207,49
0.686738,0,204,52
0.702981,0,201,33
0.719635,0,246,36
0.740364,0,244,36
0.755139,0,325,38
0.770078,0,307,39
0.786749,0,344,39
0.805883,0,335,41
0.822333,0,328,40
0.841347,0,323,40
0.856391,0,319,45
0.872192,0,313,45
0.886739,0,350,47
0.903544,0,335,49
0.922327,0,423,51
0.937245,0,411,50
0.95402,0,491,53
0.970866,0,473,57
0.98744,0,493,58
1.00443,0,481,60
1.02164,0,470,60
1.03835,0,460,59
1.05424,0,478,61
1.07388,0,466,63
1.0882,0,550,67
1.10494,0,532,71
1.12153,0,640,76
1.13853,0,600,79
1.15662,0,659,85
1.17265,0,624,88
1.18881,0,622,94
1.20549,0,600,96
1.22361,0,599,98
1.24033,0,587,100
1.25787,0,641,104
1.27431,0,621,103
1.2911,0,731,110
1.30719,0,695,111
1.32301,0,779,115
1.34032,0,736,118
1.35642,0,777,120
1.37304,0,740,122
1.38956,0,731,124
1.40612,0,697,129
1.42296,0,734,133
1.44193,0,706,141
1.45675,0,806,140
1.47322,0,753,151
1.48983,0,867,155
1.50704,0,812,157
1.52387,0,881,164
1.54088,0,829,168
1.5577,0,839,175
1.57383,0,795,180
1.59004,0,802,182
1.60677,0,760,196
1.62894,0,814,208
1.65689,0,763,215
1.67345,0,855,217
1.69034,0,804,230
1.7072,0,901,234
1.72423,0,838,241
1.74661,0,884,253
1.77428,0,825,252
1.79086,0,824,254
1.80851,0,769,262
1.82755,0,798,279
1.86077,0,746,287
1.89097,0,818,288
1.90776,0,760,299
1.92432,0,827,311
1.94543,0,764,313
1.97463,0,814,321
1.99152,0,759,325
2.00922,0,762,328
2.02444,0,698,337
2.04142,0,714,336
2.05831,0,668,341
2.07567,0,709,345
2.09249,0,649,359
2.1086,0,711,373
2.12514,0,647,377
2.14182,0,711,385
2.15865,0,644,381
2.17523,0,661,398
2.19184,0,613,403
2.20861,0,608,410
2.22534,0,560,404
2.24198,0,569,416
2.25824,0,523,426
2.2752,0,565,419
2.29375,0,525,424
2.31062,0,569,436
2.32612,0,518,427
2.34178,0,548,430
2.35822,0,509,435
2.37593,0,504,431
2.39143,0,471,444
2.40823,0,465,437
