lastTickTime,Tile::grassCount,Tile::rabbitCount,Tile::foxCount
0,0,70,35
0.301944,0,70,35
0.313694,0,69,35
0.331455,0,69,36
0.353677,0,68,37
0.371639,0,68,37
0.387065,0,67,38
0.404592,0,66,38
0.420466,0,66,39
0.437178,0,66,39
0.454406,0,66,39
0.471244,0,66,39
0.488052,0,128,40
0.504649,0,124,41
0.521923,0,123,42
0.537183,0,121,43
0.554396,0,120,43
0.571275,0,120,43
0.587717,0,119,44
0.604807,0,118,44
0.621875,0,117,44
0.637603,0,116,44
0.654175,0,169,46
0.670859,0,168,44
0.687965,0,224,45
0.705951,0,218,45
0.722088,0,214,45
0.738602,0,211,45
0.757637,0,207,46
0.77304,0,205,45
0.788248,0,204,47
0.805584,0,202,30
0.82351,0,248,30
0.838422,0,244,31
0.855418,0,325,31
0.872863,0,311,31
0.890041,0,357,33
0.907908,0,347,34
0.923606,0,339,35
0.939999,0,335,36
0.956411,0,334,36
0.971981,0,325,40
0.988323,0,359,41
1.00582,0,355,42
1.02184,0,439,42
1.03927,0,421,42
1.05549,0,502,44
1.07236,0,482,45
1.08896,0,509,47
1.10651,0,491,50
1.12617,0,476,53
1.14143,0,466,54
1.15651,0,483,58
1.17256,0,471,62
1.18902,0,546,64
1.20745,0,526,65
1.22727,0,642,66
1.2603,0,608,68
1.29432,0,676,71
1.32635,0,657,73
1.3399,0,656,74
1.36037,0,633,75
1.39169,0,631,82
1.4065,0,613,82
1.42391,0,666,82
1.44358,0,639,84
1.47838,0,756,88
1.50983,0,719,91
1.52734,0,832,99
1.56493,0,782,103
1.59306,0,820,105
1.60911,0,774,108
1.6241,0,780,113
1.64145,0,751,109
1.65738,0,783,111
1.67434,0,750,116
1.69106,0,841,121
1.71115,0,805,120
1.74335,0,922,123
1.75863,0,855,128
1.77551,0,942,131
1.79263,0,872,135
1.8088,0,882,142
1.82476,0,830,149
1.84134,0,842,153
1.85845,0,805,159
1.87495,0,866,162
1.89147,0,823,166
1.90827,0,922,172
1.92537,0,851,179
1.94191,0,942,181
1.95905,0,876,195
1.97552,0,929,198
1.99282,0,875,200
2.00918,0,895,203
2.02579,0,842,211
2.04279,0,872,212
2.06051,0,816,221
2.07516,0,866,235
2.09306,0,811,237
2.10859,0,890,251
2.12563,0,819,263
2.14204,0,869,278
2.15891,0,808,285
2.1756,0,818,287
2.19188,0,775,295
2.20899,0,787,309
2.2261,0,739,313
2.24368,0,791,315
2.25891,0,737,330
2.27531,0,771,340
2.29878,0,702,346
2.32717,0,755,361
2.34394,0,684,371
2.36156,0,699,378
2.393,0,643,384
2.40977,0,653,395
2.42725,0,605,397
2.44397,0,622,399
2.46062,0,572,411
2.47665,0,609,417
2.49358,0,561,423
2.50982,0,584,441
2.52701,0,519,444
2.54165,0,551,453
2.56301,0,495,450
2.59166,0,495,466
2.60828,0,453,471
2.62555,0,449,474
2.64289,0,404,478
2.66149,0,414,484
2.6795,0,369,491
2.7161,0,389,494
2.74392,0,345,501
2.76064,0,373,510
2.77686,0,337,506
2.79521,0,340,505
2.81036,0,310,499
2.83258,0,313,490
2.86165,0,290,486
2.87981,0,302,473
2.91404,0,273,469
2.94626,0,291,460
2.95915,0,262,460
2.97509,0,283,443
2.99628,0,262,435
3.02853,0,267,427
3.04801,0,241,418
3.07501,0,241,415
3.0917,0,217,404
3.10914,0,225,391
3.12899,0,210,385
3.14149,0,211,380
3.15871,0,193,376
3.17606,0,204,374
3.19237,0,182,361
3.21122,0,203,353
3.22466,0,189,340
3.24496,0,188,335
3.26293,0,169,328
3.29813,0,170,319
3.32458,0,157,314
3.34151,0,158,309
3.35785,0,149,301
3.37469,0,150,293
3.39174,0,140,284
3.40773,0,154,277
3.4248,0,139,274
3.44136,0,148,256
3.45892,0,132,257
3.47428,0,127,252
3.4933,0,116,251
3.51119,0,121,246
3.52924,0,109,243
3.54396,0,115,239
3.56094,0,107,233
3.57681,0,119,223
3.5941,0,114,215
3.61014,0,115,215
3.62717,0,108,206
3.64457,0,112,202
3.66222,0,103,195
3.67499,0,102,185
3.69444,0,94,186
3.70776,0,105,173
3.7251,0,99,170
3.74513,0,112,166
3.75925,0,103,159
3.77401,0,108,155
3.79189,0,102,154
3.81016,0,105,148
3.82474,0,100,144
3.84239,0,102,142
3.85746,0,96,135
3.8741,0,103,132
3.89145,0,100,131
3.90748,0,108,124
3.9244,0,100,123
3.94096,0,112,116
3.95783,0,109,115
3.97452,0,113,113
3.99157,0,106,105
4.00776,0,110,106
4.02442,0,109,102
4.04106,0,115,97
4.05816,0,110,97
4.07496,0,131,90
4.09137,0,126,88
4.10802,0,143,82
4.12476,0,134,78
4.14212,0,141,77
4.16109,0,135,70
4.17794,0,137,70
4.1924,0,134,70
4.20841,0,143,66
4.22804,0,139,63
4.24484,0,161,60
4.26248,0,154,57
4.27516,0,170,55
4.29241,0,163,54
4.30894,0,177,52
4.32817,0,169,51
4.34496,0,183,51
4.35984,0,174,50
4.37845,0,179,50
