lastTickTime,Tile::grassCount,Tile::rabbitCount,Tile::foxCount
0,0,68,37
0.111345,0,66,38
0.149367,0,66,39
0.182938,0,66,39
0.216702,0,65,40
0.249442,0,64,40
0.282996,0,64,41
0.321623,0,64,41
0.356965,0,62,42
0.384131,0,62,43
0.415991,0,62,43
0.449222,0,62,43
0.482979,0,124,43
0.517267,0,122,43
0.550694,0,121,44
0.584272,0,121,44
0.61804,0,119,45
0.650707,0,116,45
0.683832,0,115,46
0.717098,0,114,47
0.750324,0,114,47
0.783793,0,114,45
0.817164,0,114,44
0.85046,0,114,44
0.884365,0,225,44
0.919864,0,223,43
0.953148,0,219,42
0.986341,0,215,42
1.0192,0,213,42
1.0523,0,212,42
1.08549,0,211,42
1.11913,0,211,20
1.15229,0,209,18
1.18534,0,208,15
1.21838,0,207,15
1.25185,0,207,16
1.28659,0,397,16
1.32382,0,376,14
1.35628,0,370,13
1.38963,0,366,12
1.42209,0,362,11
1.45539,0,360,11
1.48864,0,359,12
1.52163,0,356,11
1.5548,0,355,11
1.5905,0,353,10
1.62342,0,351,10
1.65522,0,393,10
1.69065,0,641,10
1.72792,0,589,10
1.77765,0,574,11
1.82741,0,564,11
1.86051,0,555,11
1.89346,0,547,11
1.92718,0,539,12
1.96039,0,531,12
1.99279,0,529,10
2.0259,0,521,11
2.06089,0,518,10
2.10984,0,603,10
2.14664,0,896,9
2.20511,0,810,9
2.25937,0,783,9
2.31148,0,760,10
2.36467,0,741,9
2.41747,0,722,9
2.46788,0,706,9
2.52082,0,696,10
2.57113,0,686,10
2.62217,0,678,10
2.67461,0,673,11
2.72605,0,798,10
2.78047,0,1141,10
2.88614,0,1019,10
2.95696,0,979,11
3.01215,0,951,11
3.09568,0,927,11
3.15278,0,908,12
3.21367,0,895,11
3.26887,0,876,12
3.32519,0,853,10
3.37966,0,845,11
3.43594,0,844,11
3.49073,0,1004,11
3.55036,0,1364,11
3.61813,0,1207,11
3.68207,0,1150,11
3.74631,0,1112,11
3.80654,0,1077,11
3.86665,0,1048,9
3.93351,0,1023,9
3.99123,0,997,9
4.05004,0,981,9
4.10966,0,955,11
4.16597,0,967,11
4.22454,0,1161,11
4.28896,0,1516,15
4.35903,0,1320,15
4.42953,0,1253,16
4.49494,0,1209,16
4.55943,0,1168,19
4.62727,0,1127,20
4.68811,0,1087,21
4.74996,0,1063,21
4.80868,0,1044,21
4.86845,0,1024,21
4.93177,0,1041,22
4.99763,0,1255,23
5.07475,0,1589,23
5.14993,0,1394,23
5.22152,0,1317,23
5.28743,0,1253,25
5.35099,0,1210,27
5.41705,0,1184,25
5.47966,0,1147,27
5.54257,0,1121,27
5.60433,0,1093,27
5.66354,0,1062,29
